canonicalId,name,description,module,path
bmad-advanced-elicitation,bmad-advanced-elicitation,"Push the LLM to reconsider, refine, and improve its recent output. Use when user asks for deeper critique or mentions a known deeper critique method, e.g. socratic, first principles, pre-mortem, red team.",core,.claude/skills/bmad-advanced-elicitation/SKILL.md
bmad-agent-analyst,bmad-agent-analyst,Strategic business analyst and requirements expert. Use when the user asks to talk to Mary or requests the business analyst.,bmm,.claude/skills/bmad-agent-analyst/SKILL.md
bmad-agent-architect,bmad-agent-architect,System architect and technical design leader. Use when the user asks to talk to Winston or requests the architect.,bmm,.claude/skills/bmad-agent-architect/SKILL.md
bmad-agent-dev,bmad-agent-dev,Senior software engineer for story execution and code implementation. Use when the user asks to talk to Amelia or requests the developer agent.,bmm,.claude/skills/bmad-agent-dev/SKILL.md
bmad-agent-pm,bmad-agent-pm,Product manager for PRD creation and requirements discovery. Use when the user asks to talk to John or requests the product manager.,bmm,.claude/skills/bmad-agent-pm/SKILL.md
bmad-agent-tech-writer,bmad-agent-tech-writer,Technical documentation specialist and knowledge curator. Use when the user asks to talk to Paige or requests the tech writer.,bmm,.claude/skills/bmad-agent-tech-writer/SKILL.md
bmad-agent-ux-designer,bmad-agent-ux-designer,UX designer and UI specialist. Use when the user asks to talk to Sally or requests the UX designer.,bmm,.claude/skills/bmad-agent-ux-designer/SKILL.md
bmad-architecture,bmad-architecture,"Produce the architecture: a lean spine of invariants that keeps everything built from it consistent, projected into whatever format the work needs. Use when the user says "create the architecture", "create technical architecture", "architecture spine", or "create a solution design".",bmm,.claude/skills/bmad-architecture/SKILL.md
bmad-brainstorming,bmad-brainstorming,Facilitate a brainstorming session using diverse creative techniques. Use when the user says,core,.claude/skills/bmad-brainstorming/SKILL.md
bmad-check-implementation-readiness,bmad-check-implementation-readiness,"Validate PRD, UX, Architecture and Epics specs are complete. Use when the user says "check implementation readiness".",bmm,.claude/skills/bmad-check-implementation-readiness/SKILL.md
bmad-checkpoint-preview,bmad-checkpoint-preview,"LLM-assisted human-in-the-loop review. Make sense of a change, focus attention where it matters, test. Use when the user says "checkpoint", "human review", or "walk me through this change".",bmm,.claude/skills/bmad-checkpoint-preview/SKILL.md
bmad-code-review,bmad-code-review,"Review code changes adversarially using parallel review layers (Blind Hunter, Edge Case Hunter, Acceptance Auditor) with structured triage into actionable categories. Use when the user says "run code review" or "review this code"",bmm,.claude/skills/bmad-code-review/SKILL.md
bmad-correct-course,bmad-correct-course,Manage significant changes during sprint execution. Use when the user says "correct course" or "propose sprint change",bmm,.claude/skills/bmad-correct-course/SKILL.md
bmad-create-architecture,bmad-create-architecture,DEPRECATED â€” consolidated into bmad-architecture create intent - this skill will be removed in v7 in favor of `bmad-architecture`.,bmm,.claude/skills/bmad-create-architecture/SKILL.md
bmad-create-epics-and-stories,bmad-create-epics-and-stories,Break requirements into epics and user stories. Use when the user says "create the epics and stories list",bmm,.claude/skills/bmad-create-epics-and-stories/SKILL.md
bmad-create-prd,bmad-create-prd,DEPRECATED â€” consolidated into bmad-prd create intent - this skill will be removed in v7 in favor of `bmad-prd`.,bmm,.claude/skills/bmad-create-prd/SKILL.md
bmad-create-story,bmad-create-story,Creates a dedicated story file with all the context the agent will need to implement it later. Use when the user says "create the next story" or "create story [story identifier]",bmm,.claude/skills/bmad-create-story/SKILL.md
bmad-customize,bmad-customize,Authors and updates customization overrides for installed BMad skills. Use when the user says,core,.claude/skills/bmad-customize/SKILL.md
bmad-dev-auto,bmad-dev-auto,One iteration of an unattended development loop. Use when invoked by name.,bmm,.claude/skills/bmad-dev-auto/SKILL.md
bmad-dev-story,bmad-dev-story,Execute story implementation following a context filled story spec file. Use when the user says "dev this story [story file]" or "implement the next story in the sprint plan",bmm,.claude/skills/bmad-dev-story/SKILL.md
bmad-document-project,bmad-document-project,Document brownfield projects for AI context. Use when the user says "document this project" or "generate project docs",bmm,.claude/skills/bmad-document-project/SKILL.md
bmad-domain-research,bmad-domain-research,Conduct domain and industry research. Use when the user says wants to do domain research for a topic or industry,bmm,.claude/skills/bmad-domain-research/SKILL.md
